City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Tanggu,CN,2022-04-04 21:32:49,39.0211,117.6469,53.56,70,0,6.24
239,San Pedro,PH,2022-04-04 21:32:49,14.35,121.0167,76.32,92,100,1.14
240,Karratha,AU,2022-04-04 21:32:50,-20.7377,116.8463,81.05,67,0,9.33
241,Nikolskoye,RU,2022-04-04 21:32:50,59.7035,30.7861,35.71,93,100,12.39
242,Wamba,NG,2022-04-04 21:32:50,8.9333,8.6,83.3,42,56,3.67
243,Bubaque,GW,2022-04-04 21:32:51,11.2833,-15.8333,76.75,74,16,23.67
244,Nanortalik,GL,2022-04-04 21:32:51,60.1432,-45.2371,34.79,81,100,3.31
245,Srednekolymsk,RU,2022-04-04 21:32:51,67.45,153.6833,-9.92,98,99,2.17
246,Beaverlodge,CA,2022-04-04 21:32:52,55.2166,-119.4361,43.95,68,100,5.41
247,Port Moresby,PG,2022-04-04 21:32:52,-9.4431,147.1797,74.62,100,40,3.44
248,Karpogory,RU,2022-04-04 21:32:53,64.0019,44.4451,7.25,98,46,3.42
249,Coquimbo,CL,2022-04-04 21:32:53,-29.9533,-71.3436,60.53,82,0,12.66
250,Bend,US,2022-04-04 21:32:53,44.0582,-121.3153,46.87,68,97,11.01
251,Koudougou,BF,2022-04-04 21:32:54,12.25,-2.3667,90.73,33,48,6.96
252,The Valley,AI,2022-04-04 21:32:54,18.217,-63.0578,82.26,69,40,12.66
253,Wajima,JP,2022-04-04 21:32:54,37.4,136.9,49.01,83,4,3.49
254,Fortuna,US,2022-04-04 21:31:18,40.5982,-124.1573,54.93,96,40,0.0
255,Bedele,ET,2022-04-04 21:32:55,8.456,36.353,60.55,77,92,0.81
256,Sakakah,SA,2022-04-04 21:32:55,29.9697,40.2064,76.57,16,8,6.67
257,Tezu,IN,2022-04-04 21:32:55,27.9167,96.1667,65.62,94,100,7.14
258,Mount Isa,AU,2022-04-04 21:32:56,-20.7333,139.5,69.57,21,4,5.75
259,Mikuni,JP,2022-04-04 21:32:56,36.2171,136.1519,40.91,80,53,5.17
260,Gisborne,NZ,2022-04-04 21:29:53,-38.6533,178.0042,66.72,75,15,9.19
261,Araouane,ML,2022-04-04 21:32:57,18.9048,-3.5265,87.19,11,0,11.1
262,Kieta,PG,2022-04-04 21:32:57,-6.2167,155.6333,83.03,78,100,3.85
263,Santa Maria,BR,2022-04-04 21:32:57,-29.6842,-53.8069,69.1,94,75,2.3
264,Chingirlau,KZ,2022-04-04 21:32:58,51.095,54.0814,41.0,79,62,15.7
265,Konstantinovka,RU,2022-04-04 21:32:58,49.6167,127.9833,28.2,96,100,18.03
266,Mount Gambier,AU,2022-04-04 21:32:59,-37.8333,140.7667,44.51,100,40,0.0
267,Sayyan,YE,2022-04-04 21:32:59,15.1718,44.3244,56.75,18,0,1.61
268,Sambava,MG,2022-04-04 21:32:59,-14.2667,50.1667,74.41,94,100,5.08
269,Narsaq,GL,2022-04-04 21:33:00,60.9167,-46.05,48.42,81,100,2.68
270,Vitina,BA,2022-04-04 21:33:00,43.2375,17.4839,40.57,84,5,2.84
271,Kenai,US,2022-04-04 21:33:01,60.5544,-151.2583,41.02,83,100,3.44
272,Hirara,JP,2022-04-04 21:33:01,24.8,125.2833,68.54,60,14,11.65
273,Fort Nelson,CA,2022-04-04 21:33:01,58.8053,-122.7002,38.79,52,40,10.36
274,Tilichiki,RU,2022-04-04 21:33:02,60.4667,166.1,13.3,89,34,4.85
275,Markova,UA,2022-04-04 21:33:02,48.6758,24.4138,28.47,68,13,6.17
276,Salalah,OM,2022-04-04 21:34:03,17.0151,54.0924,78.89,89,75,2.3
277,Sangar,RU,2022-04-04 21:34:03,63.9242,127.4739,0.16,98,100,6.38
278,Antigonish,CA,2022-04-04 21:34:03,45.6169,-61.9986,33.15,96,100,8.01
279,Pangnirtung,CA,2022-04-04 21:34:04,66.1451,-65.7125,15.8,79,75,11.5
280,Chuy,UY,2022-04-04 21:34:04,-33.6971,-53.4616,58.84,58,24,7.85
281,Vilhena,BR,2022-04-04 21:34:04,-12.7406,-60.1458,73.62,94,40,8.05
282,Cheyenne,US,2022-04-04 21:32:27,41.14,-104.8203,61.12,15,0,21.99
283,Sarai Naurang,PK,2022-04-04 21:34:05,32.8259,70.7814,77.13,13,40,5.64
284,Iranshahr,IR,2022-04-04 21:34:05,27.2025,60.6848,75.54,9,0,6.91
285,Shingu,JP,2022-04-04 21:34:06,33.7333,135.9833,45.75,61,3,4.9
286,Lima,PE,2022-04-04 21:29:27,-12.0432,-77.0282,68.25,78,0,9.22
287,Punta Alta,AR,2022-04-04 21:34:06,-38.8759,-62.0736,63.79,40,7,3.87
288,Nouadhibou,MR,2022-04-04 21:34:07,20.931,-17.0347,66.18,88,20,6.91
289,Port Macquarie,AU,2022-04-04 21:33:46,-31.4333,152.9167,64.89,71,0,5.46
290,Lata,PT,2022-04-04 21:34:07,40.1629,-8.3327,45.36,51,99,5.55
291,Anadyr,RU,2022-04-04 21:34:08,64.75,177.4833,-5.01,70,41,17.9
292,Zhanaozen,KZ,2022-04-04 21:34:08,43.3,52.8,49.78,53,100,13.33
293,Taman,RU,2022-04-04 21:34:08,45.2117,36.7161,42.19,65,100,8.37
