City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
214,Puerto Ayora,-0.7393,-90.3518,80.56,91,100,3.0,EC,overcast clouds,2022-04-11 14:57:45
215,Corinto,37.9407,22.9573,67.41,37,3,3.36,GR,clear sky,2022-04-11 14:57:46
216,Ahipara,-35.1667,173.1667,63.1,90,100,7.81,NZ,overcast clouds,2022-04-11 14:57:46
217,Seymchan,62.8833,152.4333,-15.68,100,83,1.48,RU,broken clouds,2022-04-11 14:57:46
218,Aripuana,-9.1667,-60.6333,84.56,66,100,2.77,BR,overcast clouds,2022-04-11 14:57:47
219,Port Blair,11.6667,92.75,80.64,78,40,2.3,IN,mist,2022-04-11 14:57:47
220,Itarema,-2.9248,-39.9167,83.21,77,92,7.78,BR,overcast clouds,2022-04-11 14:57:47
221,Petrovsk,52.3064,45.3917,57.69,73,98,7.58,RU,overcast clouds,2022-04-11 14:57:48
222,Robe,-37.1833,139.75,55.17,67,100,12.21,AU,overcast clouds,2022-04-11 14:57:48
223,Bathsheba,13.2167,-59.5167,84.81,65,20,23.02,BB,few clouds,2022-04-11 14:57:48
224,Provideniya,64.3833,-173.3,20.19,91,95,8.93,RU,overcast clouds,2022-04-11 14:57:49
225,Kulhudhuffushi,6.6221,73.07,84.74,73,46,11.52,MV,scattered clouds,2022-04-11 14:57:49
226,Usinsk,65.9939,57.5281,34.57,100,100,10.36,RU,overcast clouds,2022-04-11 14:57:50
227,Rawson,-43.3002,-65.1023,61.18,42,21,12.33,AR,few clouds,2022-04-11 14:57:50
228,Arraial Do Cabo,-22.9661,-42.0278,82.26,61,40,6.91,BR,scattered clouds,2022-04-11 14:57:50
229,Pangody,65.85,74.4859,34.0,100,100,9.04,RU,overcast clouds,2022-04-11 14:57:51
230,Marawi,7.9986,124.2928,68.5,91,100,4.81,PH,overcast clouds,2022-04-11 14:56:57
231,Ostrovnoy,68.0531,39.5131,35.35,89,57,28.01,RU,broken clouds,2022-04-11 14:58:51
232,Arcachon,44.5875,-1.0519,76.41,41,40,19.57,FR,scattered clouds,2022-04-11 14:58:51
233,Lucea,18.451,-78.1736,84.85,70,72,19.33,JM,broken clouds,2022-04-11 14:58:52
234,Ihosy,-22.4,46.1167,67.64,78,84,12.86,MG,broken clouds,2022-04-11 14:58:52
235,Tasiilaq,65.6145,-37.6368,20.61,67,53,3.8,GL,broken clouds,2022-04-11 14:58:52
236,Arteaga,18.4667,-102.4167,76.23,44,100,2.55,MX,overcast clouds,2022-04-11 14:58:53
237,Padang,-0.9492,100.3543,79.18,86,100,2.13,ID,moderate rain,2022-04-11 14:58:53
238,Barrow,71.2906,-156.7887,21.22,86,100,9.22,US,overcast clouds,2022-04-11 14:58:03
239,Pangnirtung,66.1451,-65.7125,15.8,67,20,5.75,CA,few clouds,2022-04-11 14:54:10
240,Leo,11.1,-2.1,102.9,19,77,7.0,BF,broken clouds,2022-04-11 14:58:54
241,Umm Lajj,25.0213,37.2685,81.48,50,0,4.34,SA,clear sky,2022-04-11 14:58:54
242,Dzilam Gonzalez,21.2833,-88.9333,81.41,47,12,10.42,MX,few clouds,2022-04-11 14:58:54
243,Morki,56.4303,48.9947,42.4,99,100,5.53,RU,overcast clouds,2022-04-11 14:58:55
244,Dafeng,23.4517,108.5881,75.72,65,0,5.46,CN,clear sky,2022-04-11 14:58:55
245,Velyka Lepetykha,47.1757,33.9436,45.07,85,100,22.32,UA,overcast clouds,2022-04-11 14:58:56
246,Lerwick,60.1545,-1.1494,42.8,63,100,14.88,GB,overcast clouds,2022-04-11 14:58:56
247,Yasnyy,51.0333,59.8742,54.46,71,71,9.91,RU,broken clouds,2022-04-11 14:58:56
248,Salinas,36.6777,-121.6555,51.08,75,88,3.49,US,overcast clouds,2022-04-11 14:54:07
249,Sur,22.5667,59.5289,87.42,42,0,2.06,OM,clear sky,2022-04-11 14:58:46
250,San Quintin,30.4833,-115.95,59.4,71,9,3.53,MX,clear sky,2022-04-11 14:58:57
251,Kruisfontein,-34.0033,24.7314,74.88,64,45,16.46,ZA,scattered clouds,2022-04-11 14:56:53
252,Alice Springs,-23.7,133.8833,80.15,34,100,4.61,AU,overcast clouds,2022-04-11 14:58:58
253,Buritizeiro,-17.3511,-44.9622,93.36,38,8,4.54,BR,clear sky,2022-04-11 14:58:58
254,Sebinkarahisar,40.2883,38.4236,55.72,56,73,12.8,TR,light rain,2022-04-11 14:58:58
255,Kungurtug,50.5994,97.5228,17.6,89,52,2.95,RU,broken clouds,2022-04-11 14:58:59
256,Aswan,24.0934,32.907,105.1,8,0,6.91,EG,clear sky,2022-04-11 14:54:15
257,Puerto Quijarro,-17.7833,-57.7667,94.8,40,32,9.28,BO,scattered clouds,2022-04-11 14:58:59
258,Pilar,-9.5972,-35.9567,85.93,62,100,5.55,BR,overcast clouds,2022-04-11 14:58:59
259,La Ronge,55.1001,-105.2842,12.45,79,100,14.97,CA,overcast clouds,2022-04-11 14:59:00
